longitude,latitude,time,fdir,ssrd,t2m,u10,v10,t_air,dirhi,ghi,dhi
9.0,48.0,2017-01-01 00:00:00,0.0,0.125,270.52936,1.6712053,0.41037887,-2.620636,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 01:00:00,0.0,0.125,270.24237,1.954947,0.4318883,-2.9076233,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 02:00:00,0.0,0.125,270.32538,1.9818556,0.5409063,-2.8246155,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 03:00:00,0.0,0.125,270.66965,1.7685087,0.64679897,-2.4803467,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 04:00:00,0.0,0.125,270.63672,1.5609281,1.2692862,-2.5132751,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 05:00:00,0.0,0.125,270.3039,1.4338329,1.553689,-2.8460999,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 06:00:00,0.0,0.125,270.17365,1.5388246,1.2387686,-2.9763489,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 07:00:00,0.0,0.125,270.0892,1.5952846,1.0745981,-3.060791,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 08:00:00,28856.25,62833.125,269.88162,1.6315632,1.2367463,-3.2683716,8.015625,17.453646,9.438021
9.0,48.0,2017-01-01 09:00:00,221958.0,380888.25,270.1078,1.5123965,1.4165432,-3.0422058,61.655,105.80229,44.147293
9.0,48.0,2017-01-01 10:00:00,554553.06,770253.75,270.27957,0.9869578,0.6521304,-2.8704224,154.04251,213.95938,59.91687
9.0,48.0,2017-01-01 11:00:00,757701.06,1007722.9,271.33887,0.595822,1.8132732,-1.8111267,210.47252,279.92303,69.450516
9.0,48.0,2017-01-01 12:00:00,837814.56,1099529.0,272.27362,1.096274,1.9671484,-0.8763733,232.72627,305.4247,72.69844
9.0,48.0,2017-01-01 13:00:00,742610.3,1000492.06,273.2685,1.3980348,1.9395722,0.118499756,206.28064,277.91446,71.63382
9.0,48.0,2017-01-01 14:00:00,537795.06,750506.25,273.1647,1.162104,1.9263357,0.014709473,149.38751,208.47395,59.08644
9.0,48.0,2017-01-01 15:00:00,224651.25,373807.0,271.32526,1.1520133,1.8570274,-1.8247375,62.403126,103.83528,41.432156
9.0,48.0,2017-01-01 16:00:00,19579.5,47723.375,269.4608,1.9282787,2.1783824,-3.689209,5.43875,13.256493,7.817743
9.0,48.0,2017-01-01 17:00:00,0.0,0.125,269.19666,2.1377814,1.8766985,-3.9533386,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 18:00:00,0.0,0.125,268.9576,2.2261953,1.8434231,-4.192383,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 19:00:00,0.0,0.125,269.11722,2.1903973,1.8557405,-4.032776,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 20:00:00,0.0,0.125,268.9891,2.1471512,1.9993207,-4.1608887,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 21:00:00,0.0,0.125,269.15085,2.2329226,2.082417,-3.9991455,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 22:00:00,0.0,0.125,268.37143,2.3792381,0.841671,-4.7785645,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-01 23:00:00,0.0,0.125,268.2197,1.6959516,2.60324,-4.930298,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-02 00:00:00,0.0,0.125,268.42224,2.4183998,2.055944,-4.7277527,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-02 01:00:00,0.0,0.125,268.74933,2.6233375,1.1166978,-4.4006653,0.0,3.4722223e-05,3.4722223e-05
9.0,48.0,2017-01-02 02:00:00,0.0,0.125,269.2389,2.4974437,0.6037801,-3.9111023,0.0,3.4722223e-05,3.4722223e-05
