,t_air
2018-01-01,-0.40253862
2018-01-02,-1.246266046
2018-01-03,-1.303727516
2018-01-04,-0.80180992
2018-01-05,-1.575784587
2018-01-06,3.096126507
2018-01-07,4.293617547
2018-01-08,-2.105311947
2018-01-09,-4.600075378
2018-01-10,-4.481108373
2018-01-11,-2.731867467
2018-01-12,-4.198531786
2018-01-13,-4.390561813
2018-01-14,3.454317867
2018-01-15,3.609889387
2018-01-16,5.412233333
2018-01-17,7.420089829
2018-01-18,5.61325219
2018-01-19,3.90652016
2018-01-20,3.59853184
2018-01-21,3.708435413
2018-01-22,4.686826819
2018-01-23,10.07151674
2018-01-24,11.15652019
2018-01-25,7.198186786
2018-01-26,8.799622362
2018-01-27,16.80436164
2018-01-28,6.462624105
2018-01-29,12.19633333
2018-01-30,6.523837059
2018-01-31,10.05647166
2018-02-01,15.18932828
2018-02-02,5.36150339
2018-02-03,8.779785219
2018-02-04,11.50546578
2018-02-05,12.1821304
2018-02-06,14.58945564
2018-02-07,17.48834186
2018-02-08,12.41926673
2018-02-09,13.57816997
2018-02-10,14.48654586
2018-02-11,12.48019391
2018-02-12,14.9743961
2018-02-13,17.71762137
2018-02-14,20.0998315
2018-02-15,17.23007087
2018-02-16,15.79410053
2018-02-17,12.9186788
2018-02-18,17.96245083
2018-02-19,21.65483843
2018-02-20,17.45370157
2018-02-21,14.60032612
2018-02-22,12.88488495
2018-02-23,8.033322429
2018-02-24,5.08825443
2018-02-25,11.22026893
2018-02-26,17.011537
2018-02-27,11.84026586
2018-02-28,5.674635186
2018-03-01,15.82937933
2018-03-02,12.7060321
2018-03-03,12.66530595
2018-03-04,14.987493
2018-03-05,10.80748114
2018-03-06,17.32974621
2018-03-07,18.8022687
2018-03-08,19.46652878
2018-03-09,22.00612229
2018-03-10,24.58693714
2018-03-11,14.5161608
2018-03-12,22.3737835
2018-03-13,23.12406486
2018-03-14,23.09190609
2018-03-15,27.30821667
2018-03-16,27.739783
2018-03-17,23.9919485
2018-03-18,23.76672343
2018-03-19,18.80967568
2018-03-20,14.8549002
2018-03-21,21.163528
2018-03-22,27.851253
2018-03-23,24.65941117
2018-03-24,27.1365484
2018-03-25,22.33286579
2018-03-26,28.56299172
2018-03-27,29.46049454
2018-03-28,30.92887712
2018-03-29,25.199544
2018-03-30,28.93293139
2018-03-31,22.37930775
2018-04-01,20.413238
2018-04-02,21.635094
2018-04-03,28.34960275
2018-04-04,29.53684853
2018-04-05,29.2123485
2018-04-06,21.80495441
2018-04-07,22.6404255
2018-04-08,19.04553
2018-04-09,26.72411203
2018-04-10,30.17827674
2018-04-11,26.65322008
2018-04-12,25.1080781
2018-04-13,16.58209543
2018-04-14,19.42407367
2018-04-15,25.002095
2018-04-16,26.14260117
2018-04-17,28.98345207
2018-04-18,28.57872397
2018-04-19,25.5972868
2018-04-20,23.24920857
2018-04-21,19.387577
2018-04-22,17.26983479
2018-04-23,24.61514354
2018-04-24,26.98549102
2018-04-25,27.69140585
2018-04-26,18.78372964
2018-04-27,21.84105486
2018-04-28,26.06150896
2018-04-29,28.14516241
2018-04-30,25.43310517
2018-05-01,28.18612425
2018-05-02,17.367095
2018-05-03,15.00200267
2018-05-04,22.14789754
2018-05-05,19.40501139
2018-05-06,17.47686671
2018-05-07,14.8953315
2018-05-08,17.279021
2018-05-09,17.61493493
2018-05-10,12.8905216
2018-05-11,11.87995216
2018-05-12,15.59788311
2018-05-13,18.511652
2018-05-14,16.69661044
2018-05-15,18.11615093
2018-05-16,18.839919
2018-05-17,19.70957
2018-05-18,14.497806
2018-05-19,17.84756497
2018-05-20,11.43036585
2018-05-21,12.17868136
2018-05-22,16.7401045
2018-05-23,18.0295565
2018-05-24,19.03394514
2018-05-25,20.47663011
2018-05-26,18.50522883
2018-05-27,17.73010522
2018-05-28,9.31489379
2018-05-29,16.43958514
2018-05-30,17.56767947
2018-05-31,8.822204229
2018-06-01,7.023461614
2018-06-02,12.6563696
2018-06-03,13.3209536
2018-06-04,8.702269562
2018-06-05,5.182812296
2018-06-06,5.579484566
2018-06-07,8.08984768
2018-06-08,3.5638608
2018-06-09,1.55496064
2018-06-10,3.690866347
2018-06-11,2.936855787
2018-06-12,11.63965162
2018-06-13,11.65627243
2018-06-14,7.9315498
2018-06-15,2.764766613
2018-06-16,2.336372819
