timestep,demand_water,demand_f,dewatered_sludge,temperature,demand_electricity,heat_demand_digester,electricity_demand_digester
1,50.3267,0.0,30.91,8.887,44.26,3.509103494728093,2.3073691201302537
2,51.3267,0.0,30.91,8.568,44.26,3.551971185717955,2.3073691201302537
3,52.3267,0.062188,30.91,8.377,44.26,3.5776380477212886,2.3073691201302537
4,53.3267,0.15426,30.91,8.194,44.26,3.602229857912965,2.3073691201302537
5,54.3267,0.16016,30.91,8.093,44.26,3.6158023870351474,2.3073691201302537
6,55.3267,0.1036,30.91,8.868,44.26,3.5116567427807803,2.3073691201302537
7,56.3267,0.084862,30.91,11.056,44.26,3.2176300722923243,2.3073691201302537
8,57.3267,0.052101,30.91,13.244,44.26,2.9236034018038675,2.3073691201302537
9,58.3267,0.014673,30.91,14.995,44.26,2.6883014365272286,2.3073691201302537
10,59.3267,0.0,30.91,16.181,44.26,2.528925005448933,2.3073691201302537
11,60.3267,0.0,30.91,16.848,44.26,2.439292560651949,2.3073691201302537
12,61.3267,0.0,30.91,17.069,44.26,2.409594254354898,2.3073691201302537
13,62.3267,0.0,30.91,16.752,44.26,2.452193182391845,2.3073691201302537
14,63.3267,0.0,30.91,15.307,44.26,2.6463744158725664,2.3073691201302537
15,64.3267,0.0,30.91,12.653,44.26,3.0030228543901005,2.3073691201302537
16,65.3267,0.0,30.91,11.618,44.26,3.142107682523351,2.3073691201302537
17,66.3267,0.0,30.91,11.157,44.26,3.2040575431701424,2.3073691201302537
18,67.3267,0.0,30.91,11.094,44.26,3.212523576186949,2.3073691201302537
19,68.3267,0.0,30.91,11.181,44.26,3.2008323877351685,2.3073691201302537
20,69.3267,0.0,30.91,10.968,44.26,3.2294556422205623,2.3073691201302537
21,70.3267,0.0,30.91,10.478,44.26,3.2953025656846124,2.3073691201302537
22,71.3267,0.0,30.91,9.877,44.26,3.376065833035418,2.3073691201302537
23,72.3267,0.0,30.91,9.175,44.26,3.470401629508406,2.3073691201302537
24,73.3267,0.0,30.91,8.617,44.26,3.5453864933715495,2.3073691201302537
25,74.3267,0.0,30.91,8.066,44.26,3.6194306868994923,2.3073691201302537
26,75.3267,0.062188,30.91,7.934,44.26,3.6371690417918496,2.3073691201302537
27,76.3267,0.15426,30.91,8.043,44.26,3.6225214608580094,2.3073691201302537
28,77.3267,0.16016,30.91,8.38,44.26,3.5772349032919175,2.3073691201302537
29,78.3267,0.1036,30.91,8.9,44.26,3.507356535534149,2.3073691201302537
30,79.3267,0.084862,30.91,9.733,44.26,3.3954167656452623,2.3073691201302537
31,80.3267,0.0,30.91,11.102,44.26,3.2114485243752906,2.3073691201302537
32,81.3267,0.0,30.91,12.696,44.26,2.997244450902439,2.3073691201302537
33,82.3267,0.062188,30.91,14.034,44.26,2.817442035402643,2.3073691201302537
34,83.3267,0.15426,30.91,14.66,44.26,2.7333192311404058,2.3073691201302537
35,84.3267,0.16016,30.91,14.929,44.26,2.697170613973406,2.3073691201302537
36,85.3267,0.1036,30.91,14.994,44.26,2.6884358180036854,2.3073691201302537
37,86.3267,0.084862,30.91,14.723,44.26,2.7248531981235997,2.3073691201302537
38,87.3267,0.052101,30.91,13.824,44.26,2.8456621454586646,2.3073691201302537
39,88.3267,0.014673,30.91,11.42,44.26,3.168715214861886,2.3073691201302537
40,89.3267,0.0,30.91,10.732,44.26,3.2611696706644726,2.3073691201302537
41,90.3267,0.0,30.91,10.489,44.26,3.293824369443583,2.3073691201302537
42,91.3267,0.0,30.91,10.372,44.26,3.309547002189081,2.3073691201302537
43,92.3267,0.0,30.91,10.162,44.26,3.3377671122451034,2.3073691201302537
44,93.3267,0.0,30.91,10.309,44.26,3.318013035205888,2.3073691201302537
45,94.3267,0.0,30.91,10.385,44.26,3.3078000429951375,2.3073691201302537
46,95.3267,0.0,30.91,10.061,44.26,3.351339641367285,2.3073691201302537
47,96.3267,0.0,30.91,9.74,44.26,3.3944760953100612,2.3073691201302537
48,97.3267,0.0,30.91,10.229,44.26,3.3287635533224678,2.3073691201302537
49,98.3267,0.0,30.91,10.236,44.26,3.3278228829872667,2.3073691201302537
50,99.3267,0.0,30.91,10.145,44.26,3.340051597344876,2.3073691201302537
51,100.3267,0.0,30.91,10.594,44.26,3.279714314415572,2.3073691201302537
52,101.3267,0.0,30.91,10.755,44.26,3.258078896705955,2.3073691201302537
53,102.3267,0.0,30.91,10.796,44.26,3.2525692561712085,2.3073691201302537
54,103.3267,0.0,30.91,11.028,44.26,3.2213927536331277,2.3073691201302537
55,104.3267,0.0,30.91,11.558,44.26,3.1501705711107864,2.3073691201302537
56,105.3267,0.062188,30.91,12.423,44.26,3.033930593975267,2.3073691201302537
57,106.3267,0.15426,30.91,13.112,44.26,2.941341756696224,2.3073691201302537
58,107.3267,0.16016,30.91,13.328,44.26,2.912315357781459,2.3073691201302537
59,108.3267,0.1036,30.91,13.497,44.26,2.889604888260184,2.3073691201302537
60,109.3267,0.084862,30.91,13.566,44.26,2.8803325663846335,2.3073691201302537
61,110.3267,0.0,30.91,13.409,44.26,2.9014304581884223,2.3073691201302537
62,111.3267,0.0,30.91,12.913,44.26,2.9680836705112164,2.3073691201302537
63,112.3267,0.062188,30.91,12.119,44.26,3.0747825628182706,2.3073691201302537
64,113.3267,0.15426,30.91,11.741,44.26,3.12557876091911,2.3073691201302537
65,114.3267,0.16016,30.91,11.535,44.26,3.153261345069303,2.3073691201302537
66,115.3267,0.1036,30.91,11.029,44.26,3.22125837215667,2.3073691201302537
67,116.3267,0.084862,30.91,10.479,44.26,3.2951681842081557,2.3073691201302537
68,117.3267,0.052101,30.91,10.118,44.26,3.343679897209222,2.3073691201302537
69,118.3267,0.014673,30.91,9.801,44.26,3.386278825246169,2.3073691201302537
70,119.3267,0.0,30.91,9.705,44.26,3.3991794469860652,2.3073691201302537
71,120.3267,0.0,30.91,9.676,44.26,3.403076509803325,2.3073691201302537
72,121.3267,0.0,30.91,9.1,44.26,3.4804802402426995,2.3073691201302537
73,122.3267,0.0,30.91,8.831,44.26,3.5166288574096995,2.3073691201302537
74,123.3267,0.0,30.91,8.983,44.26,3.496202872988197,2.3073691201302537
75,124.3267,0.0,30.91,8.473,44.26,3.5647374259813933,2.3073691201302537
76,125.3267,0.0,30.91,7.776,44.26,3.658401315072094,2.3073691201302537
77,126.3267,0.0,30.91,7.356,44.26,3.7148415351841377,2.3073691201302537
78,127.3267,0.0,30.91,8.874,44.26,3.510850453922037,2.3073691201302537
79,128.3267,0.0,30.91,10.665,44.26,3.270173229587108,2.3073691201302537
80,129.3267,0.0,30.91,13.03,44.26,2.9523610377657183,2.3073691201302537
81,130.3267,0.0,30.91,14.456,44.26,2.7607330523376845,2.3073691201302537
82,131.3267,0.0,30.91,15.148,44.26,2.667741070629269,2.3073691201302537
83,132.3267,0.0,30.91,15.629,44.26,2.6031035804533333,2.3073691201302537
84,133.3267,0.0,30.91,15.794,44.26,2.5809306368378873,2.3073691201302537
85,134.3267,0.0,30.91,15.529,44.26,2.616541728099058,2.3073691201302537
86,135.3267,0.062188,30.91,14.298,44.26,2.781965325617929,2.3073691201302537
87,136.3267,0.15426,30.91,12.11,44.26,3.075991996106386,2.3073691201302537
88,137.3267,0.16016,30.91,11.295,44.26,3.1855128994190416,2.3073691201302537
89,138.3267,0.1036,30.91,10.749,44.26,3.258885185564699,2.3073691201302537
90,139.3267,0.084862,30.91,10.377,44.26,3.308875094806795,2.3073691201302537
91,140.3267,0.0,30.91,9.839,44.26,3.381172329140794,2.3073691201302537
92,141.3267,0.0,30.91,9.222,44.26,3.4640857001149152,2.3073691201302537
93,142.3267,0.062188,30.91,8.651,44.26,3.5408175231720036,2.3073691201302537
94,143.3267,0.15426,30.91,8.584,44.26,3.5498210820946388,2.3073691201302537
95,144.3267,0.16016,30.91,8.687,44.26,3.5359797900195424,2.3073691201302537
96,145.3267,0.1036,30.91,8.699,44.26,3.5343672123020555,2.3073691201302537
97,146.3267,0.084862,30.91,8.769,44.26,3.5249605089500484,2.3073691201302537
98,147.3267,0.052101,30.91,8.684,44.26,3.536382934448915,2.3073691201302537
99,148.3267,0.014673,30.91,8.226,44.26,3.597929650666334,2.3073691201302537
100,149.3267,0.0,30.91,7.591,44.26,3.683261888216685,2.3073691201302537
101,150.3267,0.0,30.91,7.37,44.26,3.7129601945137365,2.3073691201302537
102,151.3267,0.0,30.91,8.988,44.26,3.4955309656059113,2.3073691201302537
103,152.3267,0.0,30.91,11.167,44.26,3.20271372840557,2.3073691201302537
104,153.3267,0.0,30.91,13.072,44.26,2.946717015754514,2.3073691201302537
105,154.3267,0.0,30.91,14.599,44.26,2.7415165012042975,2.3073691201302537
106,155.3267,0.0,30.91,15.315,44.26,2.645299364060909,2.3073691201302537
107,156.3267,0.0,30.91,15.574,44.26,2.6104945616584825,2.3073691201302537
108,157.3267,0.0,30.91,15.366,44.26,2.638445908761589,2.3073691201302537
109,158.3267,0.0,30.91,14.649,44.26,2.7347974273814355,2.3073691201302537
110,159.3267,0.0,30.91,13.344,44.26,2.9101652541581426,2.3073691201302537
111,160.3267,0.0,30.91,10.794,44.26,3.252838019124123,2.3073691201302537
112,161.3267,0.0,30.91,9.993,44.26,3.3604775817663777,2.3073691201302537
113,162.3267,0.0,30.91,10.344,44.26,3.313309683529884,2.3073691201302537
114,163.3267,0.0,30.91,10.557,44.26,3.2846864290444904,2.3073691201302537
115,164.3267,0.0,30.91,10.471,44.26,3.296243236019814,2.3073691201302537
116,165.3267,0.062188,30.91,10.406,44.26,3.3049780319895348,2.3073691201302537
117,166.3267,0.15426,30.91,10.221,44.26,3.3298386051341256,2.3073691201302537
118,167.3267,0.16016,30.91,10.252,44.26,3.325672779363951,2.3073691201302537
119,168.3267,0.1036,30.91,10.373,44.26,3.3094126207126244,2.3073691201302537
