timestep,demand_water,demand_f,wastewater,temperature,demand_electricity
1,50.3267,0,0.095,8.887,44.26
2,51.3267,0,0.095,8.568,44.26
3,52.3267,0.062188,0.095,8.377,44.26
4,53.3267,0.15426,0.095,8.194,44.26
5,54.3267,0.16016,0.095,8.093,44.26
6,55.3267,0.1036,0.095,8.868,44.26
7,56.3267,0.084862,0.095,11.056,44.26
8,57.3267,0.052101,0.095,13.244,44.26
9,58.3267,0.014673,0.095,14.995,44.26
10,59.3267,0,0.095,16.181,44.26
11,60.3267,0,0.095,16.848,44.26
12,61.3267,0,0.095,17.069,44.26
13,62.3267,0,0.095,16.752,44.26
14,63.3267,0,0.095,15.307,44.26
15,64.3267,0,0.095,12.653,44.26
16,65.3267,0,0.095,11.618,44.26
17,66.3267,0,0.095,11.157,44.26
18,67.3267,0,0.095,11.094,44.26
19,68.3267,0,0.095,11.181,44.26
20,69.3267,0,0.095,10.968,44.26
21,70.3267,0,0.095,10.478,44.26
22,71.3267,0,0.095,9.877,44.26
23,72.3267,0,0.095,9.175,44.26
24,73.3267,0,0.095,8.617,44.26
25,74.3267,0,0.095,8.066,44.26
26,75.3267,0.062188,0.095,7.934,44.26
27,76.3267,0.15426,0.095,8.043,44.26
28,77.3267,0.16016,0.095,8.38,44.26
29,78.3267,0.1036,0.095,8.9,44.26
30,79.3267,0.084862,0.095,9.733,44.26
31,80.3267,0,0.095,11.102,44.26
32,81.3267,0,0.095,12.696,44.26
33,82.3267,0.062188,0.095,14.034,44.26
34,83.3267,0.15426,0.095,14.66,44.26
35,84.3267,0.16016,0.095,14.929,44.26
36,85.3267,0.1036,0.095,14.994,44.26
37,86.3267,0.084862,0.095,14.723,44.26
38,87.3267,0.052101,0.095,13.824,44.26
39,88.3267,0.014673,0.095,11.42,44.26
40,89.3267,0,0.095,10.732,44.26
41,90.3267,0,0.095,10.489,44.26
42,91.3267,0,0.095,10.372,44.26
43,92.3267,0,0.095,10.162,44.26
44,93.3267,0,0.095,10.309,44.26
45,94.3267,0,0.095,10.385,44.26
46,95.3267,0,0.095,10.061,44.26
47,96.3267,0,0.095,9.74,44.26
48,97.3267,0,0.095,10.229,44.26
49,98.3267,0,0.095,10.236,44.26
50,99.3267,0,0.095,10.145,44.26
51,100.3267,0,0.095,10.594,44.26
52,101.3267,0,0.095,10.755,44.26
53,102.3267,0,0.095,10.796,44.26
54,103.3267,0,0.095,11.028,44.26
55,104.3267,0,0.095,11.558,44.26
56,105.3267,0.062188,0.095,12.423,44.26
57,106.3267,0.15426,0.095,13.112,44.26
58,107.3267,0.16016,0.095,13.328,44.26
59,108.3267,0.1036,0.095,13.497,44.26
60,109.3267,0.084862,0.095,13.566,44.26
61,110.3267,0,0.095,13.409,44.26
62,111.3267,0,0.095,12.913,44.26
63,112.3267,0.062188,0.095,12.119,44.26
64,113.3267,0.15426,0.095,11.741,44.26
65,114.3267,0.16016,0.095,11.535,44.26
66,115.3267,0.1036,0.095,11.029,44.26
67,116.3267,0.084862,0.095,10.479,44.26
68,117.3267,0.052101,0.095,10.118,44.26
69,118.3267,0.014673,0.095,9.801,44.26
70,119.3267,0,0.095,9.705,44.26
71,120.3267,0,0.095,9.676,44.26
72,121.3267,0,0.095,9.1,44.26
73,122.3267,0,0.095,8.831,44.26
74,123.3267,0,0.095,8.983,44.26
75,124.3267,0,0.095,8.473,44.26
76,125.3267,0,0.095,7.776,44.26
77,126.3267,0,0.095,7.356,44.26
78,127.3267,0,0.095,8.874,44.26
79,128.3267,0,0.095,10.665,44.26
80,129.3267,0,0.095,13.03,44.26
81,130.3267,0,0.095,14.456,44.26
82,131.3267,0,0.095,15.148,44.26
83,132.3267,0,0.095,15.629,44.26
84,133.3267,0,0.095,15.794,44.26
85,134.3267,0,0.095,15.529,44.26
86,135.3267,0.062188,0.095,14.298,44.26
87,136.3267,0.15426,0.095,12.11,44.26
88,137.3267,0.16016,0.095,11.295,44.26
89,138.3267,0.1036,0.095,10.749,44.26
90,139.3267,0.084862,0.095,10.377,44.26
91,140.3267,0,0.095,9.839,44.26
92,141.3267,0,0.095,9.222,44.26
93,142.3267,0.062188,0.095,8.651,44.26
94,143.3267,0.15426,0.095,8.584,44.26
95,144.3267,0.16016,0.095,8.687,44.26
96,145.3267,0.1036,0.095,8.699,44.26
97,146.3267,0.084862,0.095,8.769,44.26
98,147.3267,0.052101,0.095,8.684,44.26
99,148.3267,0.014673,0.095,8.226,44.26
100,149.3267,0,0.095,7.591,44.26
101,150.3267,0,0.095,7.37,44.26
102,151.3267,0,0.095,8.988,44.26
103,152.3267,0,0.095,11.167,44.26
104,153.3267,0,0.095,13.072,44.26
105,154.3267,0,0.095,14.599,44.26
106,155.3267,0,0.095,15.315,44.26
107,156.3267,0,0.095,15.574,44.26
108,157.3267,0,0.095,15.366,44.26
109,158.3267,0,0.095,14.649,44.26
110,159.3267,0,0.095,13.344,44.26
111,160.3267,0,0.095,10.794,44.26
112,161.3267,0,0.095,9.993,44.26
113,162.3267,0,0.095,10.344,44.26
114,163.3267,0,0.095,10.557,44.26
115,164.3267,0,0.095,10.471,44.26
116,165.3267,0.062188,0.095,10.406,44.26
117,166.3267,0.15426,0.095,10.221,44.26
118,167.3267,0.16016,0.095,10.252,44.26
119,168.3267,0.1036,0.095,10.373,44.26
120,169.3267,0.084862,0.095,10.609,44.26
121,170.3267,0,0.095,10.713,44.26
122,171.3267,0,0.095,10.62,44.26
123,172.3267,0.062188,0.095,10.438,44.26
124,173.3267,0.15426,0.095,10.105,44.26
125,174.3267,0.16016,0.095,9.732,44.26
126,175.3267,0.1036,0.095,9.867,44.26
127,176.3267,0.084862,0.095,10.51,44.26
128,177.3267,0.052101,0.095,11.535,44.26
129,178.3267,0.014673,0.095,12.121,44.26
130,179.3267,0,0.095,12.158,44.26
131,180.3267,0,0.095,11.913,44.26
132,181.3267,0,0.095,11.463,44.26
133,182.3267,0,0.095,10.885,44.26
134,183.3267,0,0.095,10.188,44.26
135,184.3267,0,0.095,9.775,44.26
136,185.3267,0,0.095,9.737,44.26
137,186.3267,0,0.095,9.883,44.26
138,187.3267,0,0.095,9.886,44.26
139,188.3267,0,0.095,9.796,44.26
140,189.3267,0,0.095,9.642,44.26
