Measurement Time,APV_at,REF_at
07.12.2016 13:00:00,2.04,2.3
07.12.2016 13:30:00,2.316666667,2.692857143
07.12.2016 14:00:00,3.116666667,3.55
07.12.2016 14:30:00,3.24,3.835714286
07.12.2016 15:00:00,2.907692308,3.678571429
07.12.2016 15:30:00,1.671428571,2.32
07.12.2016 16:00:00,-0.557142857,-0.29375
07.12.2016 16:30:00,-1.835714286,-1.85
07.12.2016 17:00:00,-2.428571429,-2.41875
07.12.2016 17:30:00,-2.542857143,-2.55625
07.12.2016 18:00:00,-2.9,-2.925
07.12.2016 18:30:00,-3.25,-3.275
07.12.2016 19:00:00,-3.471428571,-3.51875
07.12.2016 19:30:00,-3.607142857,-3.63125
07.12.2016 20:00:00,-3.557142857,-3.56875
07.12.2016 20:30:00,-3.842857143,-3.86875
07.12.2016 21:00:00,-3.892857143,-3.93125
07.12.2016 21:30:00,-3.657142857,-3.675
07.12.2016 22:00:00,-3.735714286,-3.7
07.12.2016 22:30:00,-3.15,-3.10625
07.12.2016 23:00:00,-2.885714286,-2.8625
07.12.2016 23:30:00,-2.607142857,-2.58125
08.12.2016 00:00:00,-2.457142857,-2.4875
08.12.2016 00:30:00,-2.378571429,-2.38125
08.12.2016 01:00:00,-2.521428571,-2.55
08.12.2016 01:30:00,-2.692857143,-2.675
08.12.2016 02:00:00,-2.75,-2.75
08.12.2016 02:30:00,-2.642857143,-2.65
08.12.2016 03:00:00,-2.735714286,-2.7125
08.12.2016 03:30:00,-2.942857143,-2.9375
08.12.2016 04:00:00,-3.2,-3.2125
08.12.2016 04:30:00,-3.314285714,-3.34375
08.12.2016 05:00:00,-3.364285714,-3.3875
08.12.2016 05:30:00,-3.357142857,-3.3625
08.12.2016 06:00:00,-3.392857143,-3.38125
08.12.2016 06:30:00,-3.278571429,-3.26875
08.12.2016 07:00:00,-3.3,-3.33125
08.12.2016 07:30:00,-3.207142857,-3.19375
08.12.2016 08:00:00,-3.357142857,-3.4
08.12.2016 08:30:00,-3.742857143,-3.79375
08.12.2016 09:00:00,-3.714285714,-3.71875
08.12.2016 09:30:00,-3.693333333,-3.68125
08.12.2016 10:00:00,-3.266666667,-3.2375
08.12.2016 10:30:00,-1.813333333,-1.7625
08.12.2016 11:00:00,-1.613333333,-1.725
08.12.2016 11:30:00,-1.406666667,-1.46875
08.12.2016 12:00:00,-1.066666667,-1.025
08.12.2016 12:30:00,-0.96,-0.8375
08.12.2016 13:00:00,-0.473333333,-0.29375
08.12.2016 13:30:00,0.153333333,0.28125
08.12.2016 14:00:00,0.626666667,0.9125
08.12.2016 14:30:00,1.32,1.8125
08.12.2016 15:00:00,1.406666667,1.90625
08.12.2016 15:30:00,0.946666667,1.49375
08.12.2016 16:00:00,0.54,1.175
08.12.2016 16:30:00,0.24,0.59375
08.12.2016 17:00:00,-0.2,-0.2
08.12.2016 17:30:00,-0.386666667,-0.425
08.12.2016 18:00:00,-0.433333333,-0.39375
08.12.2016 18:30:00,-0.04,0.00625
08.12.2016 19:00:00,0.22,0.23125
08.12.2016 19:30:00,0.48,0.43125
08.12.2016 20:00:00,0.933333333,0.93125
08.12.2016 20:30:00,0.926666667,0.89375
08.12.2016 21:00:00,1.006666667,0.9375
08.12.2016 21:30:00,1.173333333,1.1375
08.12.2016 22:00:00,1.1,1.025
08.12.2016 22:30:00,0.846666667,0.875
08.12.2016 23:00:00,0.56,0.6875
08.12.2016 23:30:00,0.853333333,0.875
09.12.2016 00:00:00,1,1.20625
09.12.2016 00:30:00,0.773333333,0.675
09.12.2016 01:00:00,0.753333333,0.8125
09.12.2016 01:30:00,0.966666667,1.13125
09.12.2016 02:00:00,0.4,0.43125
09.12.2016 02:30:00,-0.093333333,-0.15
09.12.2016 03:00:00,-0.36,-0.4375
09.12.2016 03:30:00,-0.286666667,-0.31875
09.12.2016 04:00:00,-0.573333333,-0.4875
09.12.2016 04:30:00,-0.88,-0.825
09.12.2016 05:00:00,-1.126666667,-1.1625
09.12.2016 05:30:00,-1.38,-1.45
09.12.2016 06:00:00,-1.26,-1.34375
09.12.2016 06:30:00,-1.266666667,-1.325
09.12.2016 07:00:00,-1.153333333,-1.10625
09.12.2016 07:30:00,-1.153333333,-1.2125
09.12.2016 08:00:00,-1.426666667,-1.475
09.12.2016 08:30:00,-1.313333333,-1.3875
09.12.2016 09:00:00,-0.046666667,-0.2125
09.12.2016 09:30:00,0.506666667,0.20625
09.12.2016 10:00:00,1.093333333,0.93125
09.12.2016 10:30:00,2.02,2.10625
09.12.2016 11:00:00,2.54,2.6375
09.12.2016 11:30:00,2.993333333,3.1125
09.12.2016 12:00:00,2.846666667,3.03125
09.12.2016 12:30:00,3.706666667,3.96875
09.12.2016 13:00:00,4.4,4.68125
09.12.2016 13:30:00,5.14,5.4875
09.12.2016 14:00:00,5.52,5.89375
09.12.2016 14:30:00,5.886666667,6.3625
09.12.2016 15:00:00,5.713333333,6.19375
09.12.2016 15:30:00,4.82,5.11875
09.12.2016 16:00:00,4.293333333,4.33125
09.12.2016 16:30:00,3.973333333,3.91875
09.12.2016 17:00:00,3.913333333,3.8125
09.12.2016 17:30:00,4.1,4.025
09.12.2016 18:00:00,4.1,4.1375
09.12.2016 18:30:00,4.486666667,4.38125
09.12.2016 19:00:00,4.12,4.01875
09.12.2016 19:30:00,3.673333333,3.51875
09.12.2016 20:00:00,4.673333333,4.45625
09.12.2016 20:30:00,4.333333333,3.96875
09.12.2016 21:00:00,4.273333333,4.025
09.12.2016 21:30:00,4.293333333,4.18125
09.12.2016 22:00:00,4.413333333,4.3125
09.12.2016 22:30:00,4.273333333,4.09375
09.12.2016 23:00:00,4.113333333,3.80625
09.12.2016 23:30:00,5.113333333,5.09375
10.12.2016 00:00:00,4.666666667,4.46875
10.12.2016 00:30:00,4.62,4.35625
10.12.2016 01:00:00,4.946666667,4.80625
